Unnamed: 0,RF,set
0,0.490584322486022,train
1,0.6957743733310165,test
2,0.5943400522766134,train
3,0.6812186120269512,train
4,0.6957743733310165,train
5,0.6613526436450365,train
6,0.6051471015939499,train
7,0.6088958135806786,test
8,0.6113133985383182,train
9,0.6783259899067415,train
10,0.546590304961562,train
11,0.6957743733310165,test
12,0.490584322486022,train
13,0.6957743733310165,train
14,0.5820831455482519,train
15,0.5886992255633943,test
16,0.543570214540091,train
17,0.5524029650633667,train
18,0.6957743733310165,train
19,0.5921856444001564,train
20,0.6088958135806786,train
21,0.6957743733310165,train
22,0.6957743733310165,train
23,0.5820831455482519,train
24,0.5297468886972071,train
25,0.6957743733310165,train
26,0.6088958135806786,train
27,0.6665441203409503,train
28,0.546590304961562,test
29,0.546590304961562,test
30,0.5417295134353801,train
31,0.6088958135806786,test
32,0.5764423188350328,test
33,0.5297468886972071,train
34,0.5921856444001564,train
35,0.5297468886972071,train
36,0.5820831455482519,train
37,0.6957743733310165,train
38,0.6957743733310165,train
39,0.6113133985383182,train
40,0.5943400522766134,test
41,0.6113133985383182,test
42,0.5870678099321276,train
43,0.6957743733310165,train
44,0.6113133985383182,train
45,0.5297468886972071,train
46,0.5727626684680787,test
47,0.6113133985383182,train
48,0.6113133985383182,train
49,0.6113133985383182,train
50,0.6957743733310165,train
51,0.5789753257939743,train
52,0.6113133985383182,train
53,0.490584322486022,train
54,0.693356788373377,train
55,0.6957743733310165,train
56,0.6113133985383182,train
57,0.5943400522766134,train
58,0.5994007954042817,train
59,0.5629220581004581,test
60,0.490584322486022,train
61,0.6750605971031614,train
62,0.6957743733310165,train
63,0.5820831455482519,train
64,0.5417295134353801,test
65,0.5715908339633685,test
66,0.6088958135806786,train
67,0.5036493414750046,train
68,0.6957743733310165,train
69,0.6783259899067415,test
70,0.5943400522766134,train
71,0.5297468886972071,train
72,0.5297468886972071,train
73,0.6957743733310165,test
74,0.6957743733310165,test
75,0.5297468886972071,test
76,0.6957743733310165,train
77,0.6957743733310165,train
78,0.6113133985383182,train
79,0.6088958135806786,train
80,0.6088958135806786,train
81,0.6113133985383182,test
82,0.6957743733310165,test
83,0.5297468886972071,test
84,0.5789753257939743,train
85,0.5417295134353801,train
86,0.5943400522766134,train
87,0.6957743733310165,train
88,0.5297468886972071,test
89,0.5572812313872391,test
90,0.6957743733310165,test
91,0.5417295134353801,train
92,0.6113133985383182,test
93,0.6957743733310165,train
94,0.6113133985383182,train
95,0.6583950019336626,train
96,0.6088958135806786,test
97,0.5795501385893106,train
98,0.6957743733310165,train
99,0.5417295134353801,test
100,0.6957743733310165,train
101,0.693356788373377,train
102,0.6088958135806786,train
103,0.5903463423820365,train
104,0.5417295134353801,test
105,0.5943400522766134,train
106,0.5572812313872391,train
107,0.6038421705197933,train
108,0.6088958135806786,train
109,0.6113133985383182,train
110,0.693356788373377,train
111,0.6088958135806786,test
112,0.5903463423820365,train
113,0.6957743733310165,train
114,0.5297468886972071,train
115,0.490584322486022,test
116,0.5297468886972071,test
117,0.5297468886972071,train
118,0.6113133985383182,train
119,0.6113133985383182,test
120,0.6957743733310165,train
121,0.5943400522766134,train
122,0.5820831455482519,test
123,0.6113133985383182,train
124,0.6957743733310165,test
125,0.6613526436450365,test
126,0.5820831455482519,test
127,0.5297468886972071,train
128,0.5297468886972071,train
129,0.5820831455482519,train
130,0.5297468886972071,train
131,0.6957743733310165,test
132,0.6113133985383182,train
133,0.5524029650633667,test
134,0.693356788373377,train
135,0.6088958135806786,train
136,0.546590304961562,train
137,0.6113133985383182,train
138,0.6113133985383182,train
139,0.6113133985383182,train
140,0.6957743733310165,train
141,0.6064853286898222,train
142,0.5297468886972071,train
143,0.5297468886972071,train
144,0.5572812313872391,train
145,0.5603890511415167,train
146,0.5657781738615638,test
147,0.6957743733310165,train
148,0.6957743733310165,test
149,0.5297468886972071,test
150,0.6113133985383182,test
151,0.6957743733310165,test
152,0.6957743733310165,train
153,0.5053853706569508,test
154,0.6088958135806786,test
155,0.6957743733310165,train
156,0.6113133985383182,test
157,0.5297468886972071,test
158,0.5820831455482519,test
159,0.5056415488281516,train
160,0.6532771674656338,train
161,0.6113133985383182,train
162,0.5572812313872391,test
163,0.6113133985383182,test
164,0.5969832104466422,test
165,0.6064853286898222,test
166,0.6957743733310165,train
167,0.6113133985383182,train
168,0.6701338954464269,test
169,0.6957743733310165,train
170,0.5820831455482519,train
171,0.490584322486022,train
172,0.5969832104466422,test
173,0.5943400522766134,train
174,0.5969832104466422,train
175,0.6957743733310165,train
176,0.6532771674656338,train
177,0.5943400522766134,test
178,0.6957743733310165,train
179,0.5943400522766134,train
180,0.693356788373377,train
181,0.6957743733310165,train
182,0.6113133985383182,train
183,0.6957743733310165,train
184,0.6957743733310165,train
185,0.6088958135806786,train
186,0.6022589455160732,train
187,0.5572812313872391,train
188,0.6957743733310165,test
189,0.6113133985383182,test
190,0.6957743733310165,test
191,0.5969832104466422,test
192,0.6113133985383182,train
193,0.5943400522766134,train
194,0.6113133985383182,train
